ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
"192.168.1.2","192.168.1.4","84","1","0",,,,"64","1",,,,,,,,,,,,,"30.500533000","0.003546000",,
"192.168.1.4","192.168.1.2","84","0","0",,,,"64","1",,,,,,,,,,,,,"30.522740000","0.022207000",,
,,,,,,,,,,,,,,,,,,,,,,"31.934962000","1.412222000",,
"192.168.1.2","192.168.1.4","84","1","0",,,,"64","1",,,,,,,,,,,,,"32.501774000","0.566812000",,
"192.168.1.4","192.168.1.2","84","0","0",,,,"64","1",,,,,,,,,,,,,"32.511229000","0.009455000",,
"192.168.1.2","192.168.1.6","84","1","0",,,,"64","1",,,,,,,,,,,,,"32.512729000","0.001500000",,
"192.168.1.6","192.168.1.2","84","0","0",,,,"64","1",,,,,,,,,,,,,"32.530930000","0.018201000",,
,,,,,,,,,,,,,,,,,,,,,,"32.903664000","0.372734000",,
,,,,,,,,,,,,,,,,,,,,,,"32.914840000","0.011176000",,
,,,,,,,,,,,,,,,,,,,,,,"33.467367000","0.552527000",,
,,,,,,,,,,,,,,,,,,,,,,"33.472732000","0.005365000",,
,,,,,,,,,,,,,,,,,,,,,,"34.164544000","0.691812000",,
"192.168.1.2","192.168.1.6","84","1","0",,,,"64","1",,,,,,,,,,,,,"34.513608000","0.349064000",,
"192.168.1.6","192.168.1.2","84","0","0",,,,"64","1",,,,,,,,,,,,,"34.523879000","0.010271000",,
,,,,,,,,,,,,,,,,,,,,,,"36.316866000","1.792987000",,
,,,,,,,,,,,,,,,,,,,,,,"38.458706000","2.141840000",,
"192.168.1.2","192.168.1.6","84","1","0",,,,"64","1",,,,,,,,,,,,,"38.547833000","0.089127000",,
"192.168.1.6","192.168.1.2","84","0","0",,,,"64","1",,,,,,,,,,,,,"38.564396000","0.016563000",,
"192.168.1.2","192.168.1.6","84","1","0",,,,"64","1",,,,,,,,,,,,,"40.549628000","1.985232000",,
"192.168.1.6","192.168.1.2","84","0","0",,,,"64","1",,,,,,,,,,,,,"40.562324000","0.012696000",,
"192.168.1.2","192.168.1.3","84","1","0",,,,"64","1",,,,,,,,,,,,,"40.564061000","0.001737000",,
"192.168.1.3","192.168.1.2","84","0","0",,,,"128","1",,,,,,,,,,,,,"40.567526000","0.003465000",,
,,,,,,,,,,,,,,,,,,,,,,"40.642949000","0.075423000",,
"192.168.1.2","192.168.1.3","84","1","0",,,,"64","1",,,,,,,,,,,,,"42.564025000","1.921076000",,
"192.168.1.3","192.168.1.2","84","0","0",,,,"128","1",,,,,,,,,,,,,"42.569754000","0.005729000",,
"192.168.1.2","192.168.1.4","84","1","0",,,,"64","1",,,,,,,,,,,,,"42.581458000","0.011704000",,
"192.168.1.4","192.168.1.2","84","0","0",,,,"64","1",,,,,,,,,,,,,"42.602305000","0.020847000",,
,,,,,,,,,,,,,,,,,,,,,,"42.852987000","0.250682000",,
"192.168.1.2","192.168.1.4","84","1","0",,,,"64","1",,,,,,,,,,,,,"44.583088000","1.730101000",,
"192.168.1.4","192.168.1.2","84","0","0",,,,"64","1",,,,,,,,,,,,,"44.597290000","0.014202000",,
"192.168.1.2","192.168.1.1","84","1","0",,,,"64","1",,,,,,,,,,,,,"44.598838000","0.001548000",,
"192.168.1.1","192.168.1.2","84","1","0",,,,"255","1",,,,,,,,,,,,,"44.622248000","0.023410000",,
,,,,,,,,,,,,,,,,,,,,,,"44.990916000","0.368668000",,
"192.168.1.2","192.168.1.1","84","1","0",,,,"64","1",,,,,,,,,,,,,"46.600329000","1.609413000",,
"192.168.1.1","192.168.1.2","84","1","0",,,,"255","1",,,,,,,,,,,,,"46.620259000","0.019930000",,
"192.168.1.2","192.168.1.5","84","1","0",,,,"64","1",,,,,,,,,,,,,"46.622483000","0.002224000",,
"192.168.1.5","192.168.1.2","84","0","0",,,,"128","1",,,,,,,,,,,,,"46.628455000","0.005972000",,
,,,,,,,,,,,,,,,,,,,,,,"47.153609000","0.525154000",,
"192.168.1.2","192.168.1.5","84","1","0",,,,"64","1",,,,,,,,,,,,,"48.623040000","1.469431000",,
"192.168.1.5","192.168.1.2","84","0","0",,,,"128","1",,,,,,,,,,,,,"48.635631000","0.012591000",,
"192.168.1.2","192.168.1.5","84","1","0",,,,"64","1",,,,,,,,,,,,,"48.655504000","0.019873000",,
"192.168.1.5","192.168.1.2","84","0","0",,,,"128","1",,,,,,,,,,,,,"48.663956000","0.008452000",,
,,,,,,,,,,,,,,,,,,,,,,"49.288059000","0.624103000",,
