ip.src,ip.dst,eth.addr,eth.dst,frame.time_relative,frame.time_delta
1032528500,2794474873,59330282642652,59330282642652,0.388837,0.005287
2667116129,2454082072,187628716802841,187628716802841,0.38925,0.000413
667037958,3080171644,17843917064353,17843917064353,0.395197,0.005947
1378666043,2829142807,117742923622325,117742923622325,0.397737,0.00254
1147252287,170198366,118936477378244,118936477378244,0.401883,0.004146
1879532631,2532469841,121153432279171,121153432279171,0.402667,0.000784
1069584170,1999351870,41781056149280,41781056149280,0.404035,0.001368
2615382311,4067349270,190271972682202,190271972682202,0.404472,0.000437
4046883421,2448672114,37299125177445,37299125177445,0.414744,0.010272
1520676966,4267205714,209563603639717,209563603639717,0.415821,0.001077
2271453054,1249931533,191988786072358,191988786072358,0.417616,0.001795
1164418339,1665631272,125417244236433,125417244236433,0.418125,0.000509
1936186492,1446021693,277681871958271,277681871958271,0.418978,0.000853
3263428404,2107999812,270762913409457,270762913409457,0.420036,0.001058
2406286936,1216449066,2314669014794,2314669014794,0.420918,0.000882
84987662,83674685,160068771299227,160068771299227,0.441585,0.020667
3371391770,550133340,103656471340626,103656471340626,0.443711,0.002126
3650437678,3907434104,98379180855657,98379180855657,0.444143,0.000432
1179485987,3488927550,223080604502058,223080604502058,0.452453,0.00831
1991081836,1826382623,181316457154755,181316457154755,0.453698,0.001245
2408545644,562538859,80201639606358,80201639606358,0.453841,0.000143
1277449227,2062900771,57899774583964,57899774583964,0.459984,0.006143
4156497004,2383250209,25701138125202,25701138125202,0.463583,0.003599
4225604921,2598578178,12458275462585,12458275462585,0.467743,0.00416
4178311182,3404506149,138299290843464,138299290843464,0.473098,0.005355
219532359,2555044158,176517859646157,176517859646157,0.473501,0.000403
1351881295,377962835,30415399758892,30415399758892,0.475541,0.00204
4103388027,1400950050,99457837534927,99457837534927,0.479693,0.004152
1520473714,3580848959,220291547988420,220291547988420,0.480969,0.001276
3228048928,4178395244,186337913026771,186337913026771,0.487845,0.006876
1699590264,1001915766,77117387333932,77117387333932,0.488456,0.000611
3972265478,1930603043,27977738968066,27977738968066,0.489304,0.000848
786808387,2438256732,230810355238300,230810355238300,0.490525,0.001221
2363505980,638417487,213029460797641,213029460797641,0.492415,0.00189
554164783,1067872579,92232178519916,92232178519916,0.499886,0.007471
2847054704,2707432966,125874338923229,125874338923229,0.500277,0.000391
2596728171,2613001512,17454737331056,17454737331056,0.502809,0.002532
928276278,3096009011,166586598288864,166586598288864,0.503342,0.000533
