ip.src,ip.dst,eth.addr,eth.dst,frame.time_relative,frame.time_delta,label
4181115446,2315263559,223133574196846,223133574196846,0.293162,0.011413,Abnormal_Traffic
1085787435,2554749265,159299954905166,159299954905166,0.295283,0.002121,Abnormal_Traffic
1782196740,3846897218,175137851367240,175137851367240,0.301588,0.006305,Abnormal_Traffic
3832470839,1901924615,132105934747760,132105934747760,0.303823,0.002235,Abnormal_Traffic
2439516175,1869085761,52433733960084,52433733960084,0.306749,0.002926,Abnormal_Traffic
3641312547,3824531523,133846452389930,133846452389930,0.309367,0.002618,Abnormal_Traffic
381996300,4148906859,20742229173270,20742229173270,0.310381,0.001014,Abnormal_Traffic
2220408105,3231010376,51871364000384,51871364000384,0.315593,0.005212,Abnormal_Traffic
382932789,890578444,101198580009018,101198580009018,0.323878,0.008285,Abnormal_Traffic
881612805,3591090792,210315494786729,210315494786729,0.325278,0.0014,Abnormal_Traffic
2909247568,3236922198,66622562532528,66622562532528,0.326031,0.000753,Abnormal_Traffic
2000540209,1502771528,74489246472292,74489246472292,0.328754,0.002723,Abnormal_Traffic
2483201115,3487917831,170806806202826,170806806202826,0.33676,0.008006,Abnormal_Traffic
1434722672,1899531635,216401728112089,216401728112089,0.340952,0.004192,Abnormal_Traffic
2731141657,1082299445,221297149994314,221297149994314,0.346349,0.005397,Abnormal_Traffic
3131553636,3556801363,71463264037925,71463264037925,0.35268,0.006331,Abnormal_Traffic
1307314965,1070596213,257611585035259,257611585035259,0.366913,0.014233,Abnormal_Traffic
352736005,3371658784,41981225351421,41981225351421,0.371843,0.00493,Abnormal_Traffic
931786599,2548339770,242153969523816,242153969523816,0.372485,0.000642,Abnormal_Traffic
1126345546,734313525,245017954263905,245017954263905,0.373125,0.00064,Abnormal_Traffic
2104423517,2940035453,169561256634494,169561256634494,0.374282,0.001157,Abnormal_Traffic
1825367418,1915094830,65545886419812,65545886419812,0.379952,0.00567,Abnormal_Traffic
3041020936,1753202253,41081681152077,41081681152077,0.38038,0.000428,Abnormal_Traffic
1906009101,2012392970,275443671151376,275443671151376,0.381548,0.001168,Abnormal_Traffic
3902839316,3549112658,114071166213946,114071166213946,0.381907,0.000359,Abnormal_Traffic
2807895078,207728954,95788058417544,95788058417544,0.38355,0.001643,Abnormal_Traffic
1032528500,2794474873,59330282642652,59330282642652,0.388837,0.005287,Abnormal_Traffic
2667116129,2454082072,187628716802841,187628716802841,0.38925,0.000413,Abnormal_Traffic
667037958,3080171644,17843917064353,17843917064353,0.395197,0.005947,Abnormal_Traffic
1378666043,2829142807,117742923622325,117742923622325,0.397737,0.00254,Abnormal_Traffic
1147252287,170198366,118936477378244,118936477378244,0.401883,0.004146,Abnormal_Traffic
1879532631,2532469841,121153432279171,121153432279171,0.402667,0.000784,Abnormal_Traffic
1069584170,1999351870,41781056149280,41781056149280,0.404035,0.001368,Abnormal_Traffic
2615382311,4067349270,190271972682202,190271972682202,0.404472,0.000437,Abnormal_Traffic
4046883421,2448672114,37299125177445,37299125177445,0.414744,0.010272,Abnormal_Traffic
1520676966,4267205714,209563603639717,209563603639717,0.415821,0.001077,Abnormal_Traffic
2271453054,1249931533,191988786072358,191988786072358,0.417616,0.001795,Abnormal_Traffic
1164418339,1665631272,125417244236433,125417244236433,0.418125,0.000509,Abnormal_Traffic
1936186492,1446021693,277681871958271,277681871958271,0.418978,0.000853,Abnormal_Traffic
3263428404,2107999812,270762913409457,270762913409457,0.420036,0.001058,Abnormal_Traffic
2406286936,1216449066,2314669014794,2314669014794,0.420918,0.000882,Abnormal_Traffic
84987662,83674685,160068771299227,160068771299227,0.441585,0.020667,Abnormal_Traffic
3371391770,550133340,103656471340626,103656471340626,0.443711,0.002126,Abnormal_Traffic
3650437678,3907434104,98379180855657,98379180855657,0.444143,0.000432,Abnormal_Traffic
1179485987,3488927550,223080604502058,223080604502058,0.452453,0.00831,Abnormal_Traffic
1991081836,1826382623,181316457154755,181316457154755,0.453698,0.001245,Abnormal_Traffic
2408545644,562538859,80201639606358,80201639606358,0.453841,0.000143,Abnormal_Traffic
1277449227,2062900771,57899774583964,57899774583964,0.459984,0.006143,Abnormal_Traffic
4156497004,2383250209,25701138125202,25701138125202,0.463583,0.003599,Abnormal_Traffic
4225604921,2598578178,12458275462585,12458275462585,0.467743,0.00416,Abnormal_Traffic
4178311182,3404506149,138299290843464,138299290843464,0.473098,0.005355,Abnormal_Traffic
219532359,2555044158,176517859646157,176517859646157,0.473501,0.000403,Abnormal_Traffic
1351881295,377962835,30415399758892,30415399758892,0.475541,0.00204,Abnormal_Traffic
4103388027,1400950050,99457837534927,99457837534927,0.479693,0.004152,Abnormal_Traffic
1520473714,3580848959,220291547988420,220291547988420,0.480969,0.001276,Abnormal_Traffic
3228048928,4178395244,186337913026771,186337913026771,0.487845,0.006876,Abnormal_Traffic
1699590264,1001915766,77117387333932,77117387333932,0.488456,0.000611,Abnormal_Traffic
3972265478,1930603043,27977738968066,27977738968066,0.489304,0.000848,Abnormal_Traffic
786808387,2438256732,230810355238300,230810355238300,0.490525,0.001221,Abnormal_Traffic
2363505980,638417487,213029460797641,213029460797641,0.492415,0.00189,Abnormal_Traffic
554164783,1067872579,92232178519916,92232178519916,0.499886,0.007471,Abnormal_Traffic
2847054704,2707432966,125874338923229,125874338923229,0.500277,0.000391,Abnormal_Traffic
2596728171,2613001512,17454737331056,17454737331056,0.502809,0.002532,Abnormal_Traffic
928276278,3096009011,166586598288864,166586598288864,0.503342,0.000533,Abnormal_Traffic
1362221829,2879096411,3203683484243,3203683484243,0.511137,0.007795,Abnormal_Traffic
2538847014,414588253,139565758238187,139565758238187,0.51174,0.000603,Abnormal_Traffic
1956118600,2890530053,129697766669214,129697766669214,0.514178,0.002438,Abnormal_Traffic
540948008,2501508984,75763817885387,75763817885387,0.516474,0.002296,Abnormal_Traffic
2570920486,1217322601,194863257869560,194863257869560,0.527946,0.011472,Abnormal_Traffic
1643033607,1032861721,222063622177187,222063622177187,0.533246,0.0053,Abnormal_Traffic
81785912,549134638,540813904174,540813904174,0.534835,0.001589,Abnormal_Traffic
1081584931,2214834545,259233728382156,259233728382156,0.535348,0.000513,Abnormal_Traffic
2377775731,2661329456,67838826544185,67838826544185,0.541994,0.006646,Abnormal_Traffic
1113379911,3558009352,228921577535379,228921577535379,0.544086,0.002092,Abnormal_Traffic
4170797943,365200511,234526007327503,234526007327503,0.548842,0.004756,Abnormal_Traffic
1812735240,1671115085,236262767821364,236262767821364,0.549243,0.000401,Abnormal_Traffic
1089194561,3368735351,147811269067442,147811269067442,0.549733,0.00049,Abnormal_Traffic
784588401,3785329531,256208623897561,256208623897561,0.550385,0.000652,Abnormal_Traffic
767084870,3053335160,81303956394533,81303956394533,0.550909,0.000524,Abnormal_Traffic
1833090573,186630974,223424072711755,223424072711755,0.557004,0.006095,Abnormal_Traffic
3315546225,3353739306,168376177059565,168376177059565,0.559682,0.002678,Abnormal_Traffic
505969970,3249480212,163790059289751,163790059289751,0.56486,0.005178,Abnormal_Traffic
2730064648,400559114,187592603382960,187592603382960,0.565288,0.000428,Abnormal_Traffic
4010053205,1177141045,142427663145954,142427663145954,0.565419,0.000131,Abnormal_Traffic
2585080387,1029263476,34298858124835,34298858124835,0.565741,0.000322,Abnormal_Traffic
2472501767,1962707563,231181167852157,231181167852157,0.566396,0.000655,Abnormal_Traffic
3450824306,1897337376,143016040502745,143016040502745,0.56812,0.001724,Abnormal_Traffic
633056609,3734356553,75318962844614,75318962844614,0.576954,0.008834,Abnormal_Traffic
2461596526,488270413,151432078987353,151432078987353,0.578741,0.001787,Abnormal_Traffic
2547027057,3758764625,21284974928604,21284974928604,0.579609,0.000868,Abnormal_Traffic
818507330,2445105160,118758717184326,118758717184326,0.580921,0.001312,Abnormal_Traffic
1447411729,842693636,176478060118250,176478060118250,0.581636,0.000715,Abnormal_Traffic
2663415145,801409557,168173691456076,168173691456076,0.589056,0.00742,Abnormal_Traffic
1513487653,1180765194,24844729569942,24844729569942,0.590455,0.001399,Abnormal_Traffic
869871622,3480969855,133275560312709,133275560312709,0.591945,0.00149,Abnormal_Traffic
3957039383,3447279888,52475157941240,52475157941240,0.593075,0.00113,Abnormal_Traffic
1849852170,1445511021,277020043355542,277020043355542,0.593467,0.000392,Abnormal_Traffic
690396518,2072360795,78806313688180,78806313688180,0.599863,0.006396,Abnormal_Traffic
1520616776,2873100893,210437966988100,210437966988100,0.600358,0.000495,Abnormal_Traffic
1380279362,3076052800,80360284545821,80360284545821,0.602273,0.001915,Abnormal_Traffic
3823498273,2853356364,141751728105624,141751728105624,0.602962,0.000689,Abnormal_Traffic
1973972784,905263477,240047671276196,240047671276196,0.610718,0.007756,Abnormal_Traffic
3031804018,1672358727,19146008176778,19146008176778,0.613068,0.00235,Abnormal_Traffic
1611194661,177683051,43642325162746,43642325162746,0.613361,0.000293,Abnormal_Traffic
764885250,973191031,216982943655091,216982943655091,0.613895,0.000534,Abnormal_Traffic
3105484621,4096592970,70885806943814,70885806943814,0.614366,0.000471,Abnormal_Traffic
2488914205,1363821621,265263137143916,265263137143916,0.619875,0.005509,Abnormal_Traffic
2202691908,2498687495,113626463986940,113626463986940,0.620418,0.000543,Abnormal_Traffic
338626115,67564116,83477018414401,83477018414401,0.620891,0.000473,Abnormal_Traffic
2541865795,3993626231,99712302196539,99712302196539,0.626662,0.005771,Abnormal_Traffic
2780928619,2811099966,38773127262202,38773127262202,0.63426,0.007598,Abnormal_Traffic
2163038783,404405062,5410383933868,5410383933868,0.6404,0.00614,Abnormal_Traffic
2650638390,2699617570,10338428763134,10338428763134,0.647927,0.007527,Abnormal_Traffic
2998302240,4220039976,94313593554574,94313593554574,0.648475,0.000548,Abnormal_Traffic
512342832,605606228,180502276728697,180502276728697,0.64949,0.001015,Abnormal_Traffic
1628767793,3986759029,88667791991540,88667791991540,0.650991,0.001501,Abnormal_Traffic
1142194513,3934800747,61378644310303,61378644310303,0.660415,0.009424,Abnormal_Traffic
1995093078,1861943154,88447406708054,88447406708054,0.66193,0.001515,Abnormal_Traffic
1480538898,299329869,194344638001384,194344638001384,0.662898,0.000968,Abnormal_Traffic
2841660485,1464079742,21099365325870,21099365325870,0.667736,0.004838,Abnormal_Traffic
2740455447,1438531881,246099685317840,246099685317840,0.668023,0.000287,Abnormal_Traffic
1023000184,1231468340,264048082039335,264048082039335,0.668322,0.000299,Abnormal_Traffic
3136073280,4018774361,77143334979668,77143334979668,0.668888,0.000566,Abnormal_Traffic
282083960,279921012,120217097014870,120217097014870,0.670737,0.001849,Abnormal_Traffic
2371144305,2708129873,110436650927932,110436650927932,0.674188,0.003451,Abnormal_Traffic
2520511293,738381933,124335564898054,124335564898054,0.675018,0.00083,Abnormal_Traffic
2046275406,3715246354,226099528840541,226099528840541,0.679117,0.004099,Abnormal_Traffic
1039551044,3584734481,79538149089551,79538149089551,0.68477,0.005653,Abnormal_Traffic
4226708783,1853261602,237746109311128,237746109311128,0.686933,0.002163,Abnormal_Traffic
707956606,3763093042,113617158762890,113617158762890,0.688022,0.001089,Abnormal_Traffic
472982822,405704485,241030416892415,241030416892415,0.688289,0.000267,Abnormal_Traffic
362062143,3246882360,218356272161468,218356272161468,0.696549,0.00826,Abnormal_Traffic
3831974969,3810207590,204412918688861,204412918688861,0.698589,0.00204,Abnormal_Traffic
376866117,3479784213,197053744391908,197053744391908,0.701656,0.003067,Abnormal_Traffic
1830490464,70895475,263488277845283,263488277845283,0.703204,0.001548,Abnormal_Traffic
689610865,2112407419,168777102816416,168777102816416,0.709706,0.006502,Abnormal_Traffic
571275832,3478171261,204346628810608,204346628810608,0.717521,0.007815,Abnormal_Traffic
1038795903,3999110510,142122683352436,142122683352436,0.723574,0.006053,Abnormal_Traffic
589680743,3434729769,178804609302972,178804609302972,0.735865,0.012291,Abnormal_Traffic
2176870213,831214672,17039646760472,17039646760472,0.736345,0.00048,Abnormal_Traffic
1676935796,1315005308,19205457746264,19205457746264,0.737186,0.000841,Abnormal_Traffic
417881721,332519274,263517836100235,263517836100235,0.74337,0.006184,Abnormal_Traffic
2656639280,2709904208,36032410802894,36032410802894,0.745788,0.002418,Abnormal_Traffic
2808459078,2139052128,30285247563537,30285247563537,0.746161,0.000373,Abnormal_Traffic
2148957969,3798289466,222642200175554,222642200175554,0.746694,0.000533,Abnormal_Traffic
4183686731,834980640,162086469551778,162086469551778,0.75325,0.006556,Abnormal_Traffic
537431932,277900597,115632304429391,115632304429391,0.760153,0.006903,Abnormal_Traffic
2252291118,818268951,193163134656972,193163134656972,0.761338,0.001185,Abnormal_Traffic
2436383536,960894542,71365562597938,71365562597938,0.77594,0.014602,Abnormal_Traffic
1291262744,1419351115,56697952381632,56697952381632,0.776565,0.000625,Abnormal_Traffic
433292127,4168467263,125578519876363,125578519876363,0.779104,0.002539,Abnormal_Traffic
2665770054,3084359219,41366222783000,41366222783000,0.785995,0.006891,Abnormal_Traffic
3032538644,1459296618,11016562873231,11016562873231,0.787135,0.00114,Abnormal_Traffic
44494943,569263223,8915296702144,8915296702144,0.799568,0.012433,Abnormal_Traffic
2147958596,368038989,130886578693741,130886578693741,0.800276,0.000708,Abnormal_Traffic
821211722,3118979944,5669311975780,5669311975780,0.802032,0.001756,Abnormal_Traffic
2996322893,1013506053,63509398632240,63509398632240,0.804858,0.002826,Abnormal_Traffic
2417910390,3883730459,113759848117767,113759848117767,0.805718,0.00086,Abnormal_Traffic
3293254713,4109554490,214405328454382,214405328454382,0.806354,0.000636,Abnormal_Traffic
473772111,1527801958,185229677022500,185229677022500,0.813941,0.007587,Abnormal_Traffic
4000309343,3148172038,47862730672265,47862730672265,0.823511,0.00957,Abnormal_Traffic
