ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64256","1","1","0","3","0","0x0010","0.000976000",,,,,"33.219775000","0.000976000","0.002927000","0.000976000"
"10.0.2.15","10.0.2.2","124","1","0",,,,"64","6","64256","1","1","72","3","0","0x0018",,,,"1",,"33.220787000","0.001012000","0.003939000","0.001012000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","73","1","0","3","0","0x0010","0.001947000",,,,,"33.222734000","0.001947000","0.005886000","0.001947000"
"10.0.2.2","10.0.2.15","1119","1","0",,,,"64","6","5824","73","1","1067","3","0","0x0018",,,,,,"33.230543000","0.007809000","0.013695000","0.007809000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","3","0","0x0010","0.001945000",,,,,"33.232488000","0.001945000","0.015640000","0.001945000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","3","0","0x0011",,,,,,"33.233438000","0.000950000","0.016590000","0.000950000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","74","1068","0","3","0","0x0011","0.001952000",,,,,"33.235390000","0.001952000","0.018542000","0.001952000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1069","74","0","3","0","0x0010","0.001953000",,,,,"33.237343000","0.001953000","0.020495000","0.001953000"
,,,,,,,,,,,,,,,,,,,,,,"37.822132000","4.584789000",,
"10.0.2.15","10.0.2.2","60","1","0",,,,"64","6","64240","0","0","0","4","0","0x0002",,,,,,"38.247667000","0.425535000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","60","1","0",,,,"64","6","5792","1","0","0","4","0","0x0012","0.001983000",,,,,"38.249650000","0.001983000","0.001983000","0.001983000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64256","1","1","0","4","0","0x0010","0.001921000",,,,,"38.251571000","0.001921000","0.003904000","0.001921000"
"10.0.2.15","10.0.2.2","124","1","0",,,,"64","6","64256","1","1","72","4","0","0x0018",,,,"1",,"38.252548000","0.000977000","0.004881000","0.000977000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","73","1","0","4","0","0x0010","0.001006000",,,,,"38.253554000","0.001006000","0.005887000","0.001006000"
"10.0.2.2","10.0.2.15","1119","1","0",,,,"64","6","5824","73","1","1067","4","0","0x0018",,,,,,"38.262346000","0.008792000","0.014679000","0.008792000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","4","0","0x0010","0.001912000",,,,,"38.264258000","0.001912000","0.016591000","0.001912000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","4","0","0x0011",,,,,,"38.265236000","0.000978000","0.017569000","0.000978000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","74","1068","0","4","0","0x0011","0.001951000",,,,,"38.267187000","0.001951000","0.019520000","0.001951000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1069","74","0","4","0","0x0010","0.001952000",,,,,"38.269139000","0.001952000","0.021472000","0.001952000"
,,,,,,,,,,,,,,,,,,,,,,"42.579603000","4.310464000",,
"10.0.2.15","10.0.2.2","60","1","0",,,,"64","6","64240","0","0","0","5","0","0x0002",,,,,,"43.276055000","0.696452000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","60","1","0",,,,"64","6","5792","1","0","0","5","0","0x0012","0.001947000",,,,,"43.278002000","0.001947000","0.001947000","0.001947000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64256","1","1","0","5","0","0x0010","0.001952000",,,,,"43.279954000","0.001952000","0.003899000","0.001952000"
"10.0.2.15","10.0.2.2","124","1","0",,,,"64","6","64256","1","1","72","5","0","0x0018",,,,"1",,"43.279954000","0.000000000","0.003899000","0.000000000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","73","1","0","5","0","0x0010","0.001985000",,,,,"43.281939000","0.001985000","0.005884000","0.001985000"
"10.0.2.2","10.0.2.15","1119","1","0",,,,"64","6","5824","73","1","1067","5","0","0x0018",,,,,,"43.290641000","0.008702000","0.014586000","0.008702000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","5","0","0x0010","0.001964000",,,,,"43.292605000","0.001964000","0.016550000","0.001964000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","5","0","0x0011",,,,,,"43.293570000","0.000965000","0.017515000","0.000965000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","74","1068","0","5","0","0x0011","0.001952000",,,,,"43.295522000","0.001952000","0.019467000","0.001952000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1069","74","0","5","0","0x0010","0.000987000",,,,,"43.296509000","0.000987000","0.020454000","0.000987000"
,,,,,,,,,,,,,,,,,,,,,,"47.320828000","4.024319000",,
"10.0.2.15","10.0.2.2","60","1","0",,,,"64","6","64240","0","0","0","6","0","0x0002",,,,,,"48.314329000","0.993501000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","60","1","0",,,,"64","6","5792","1","0","0","6","0","0x0012","0.001984000",,,,,"48.316313000","0.001984000","0.001984000","0.001984000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64256","1","1","0","6","0","0x0010","0.001920000",,,,,"48.318233000","0.001920000","0.003904000","0.001920000"
"10.0.2.15","10.0.2.2","124","1","0",,,,"64","6","64256","1","1","72","6","0","0x0018",,,,"1",,"48.318233000","0.000000000","0.003904000","0.000000000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","73","1","0","6","0","0x0010","0.001952000",,,,,"48.320185000","0.001952000","0.005856000","0.001952000"
