ip.src,ip.dst,eth.addr,eth.dst,frame.time_relative,frame.time_delta,label
3232235779,3232235778,13259053006848,13259053006848,40.567526,0.003465,Normal_Traffic
0,0,1652522221568,1652522221568,40.642949,0.075423,Normal_Traffic
3232235778,3232235779,13967729426432,13967729426432,42.564025,1.921076,Normal_Traffic
3232235779,3232235778,13259053006848,13259053006848,42.569754,0.005729,Normal_Traffic
3232235778,3232235780,14189840039936,14189840039936,42.581458,0.011704,Normal_Traffic
3232235780,3232235778,13259053006848,13259053006848,42.602305,0.020847,Normal_Traffic
0,0,1652522221568,1652522221568,42.852987,0.250682,Normal_Traffic
3232235778,3232235780,14189840039936,14189840039936,44.583088,1.730101,Normal_Traffic
3232235780,3232235778,13259053006848,13259053006848,44.59729,0.014202,Normal_Traffic
3232235778,3232235777,219906802581504,219906802581504,44.598838,0.001548,Normal_Traffic
3232235777,3232235778,13259053006848,13259053006848,44.622248,0.02341,Normal_Traffic
0,0,1652522221568,1652522221568,44.990916,0.368668,Normal_Traffic
3232235778,3232235777,219906802581504,219906802581504,46.600329,1.609413,Normal_Traffic
3232235777,3232235778,13259053006848,13259053006848,46.620259,0.01993,Normal_Traffic
3232235778,3232235781,13909683339264,13909683339264,46.622483,0.002224,Normal_Traffic
3232235781,3232235778,13259053006848,13259053006848,46.628455,0.005972,Normal_Traffic
0,0,1652522221568,1652522221568,47.153609,0.525154,Normal_Traffic
3232235778,3232235781,13909683339264,13909683339264,48.62304,1.469431,Normal_Traffic
3232235781,3232235778,13259053006848,13259053006848,48.635631,0.012591,Normal_Traffic
3232235778,3232235781,13909683339264,13909683339264,48.655504,0.019873,Normal_Traffic
3232235781,3232235778,13259053006848,13259053006848,48.663956,0.008452,Normal_Traffic
0,0,1652522221568,1652522221568,49.288059,0.624103,Normal_Traffic
3232235778,3232235781,13909683339264,13909683339264,50.656487,1.368428,Normal_Traffic
3232235781,3232235778,13259053006848,13259053006848,50.660114,0.003627,Normal_Traffic
3232235778,3232235782,13233333338112,13233333338112,50.662405,0.002291,Normal_Traffic
3232235782,3232235778,13259053006848,13259053006848,50.686945,0.02454,Normal_Traffic
0,0,1652522221568,1652522221568,51.418134,0.731189,Normal_Traffic
3232235778,3232235782,13233333338112,13233333338112,52.662938,1.244804,Normal_Traffic
3232235782,3232235778,13259053006848,13259053006848,52.672141,0.009203,Normal_Traffic
3232235778,3232235777,219906802581504,219906802581504,52.673681,0.00154,Normal_Traffic
