ip.src,ip.dst,ip.len,ip.flags.df,ip.ttl,ip.proto,frame.time_relative,frame.time_delta,label
3232235778,3758096635,63.0,0.0,1.0,17.0,48.80183,0.033215,DHCP_Spoofing
3232235778,3758096635,101.0,0.0,1.0,17.0,48.802465,0.000635,DHCP_Spoofing
0,0,0.0,0.0,0.0,0.0,48.805016,0.002551,DHCP_Spoofing
0,0,0.0,0.0,0.0,0.0,48.808989,0.003973,DHCP_Spoofing
0,0,0.0,0.0,0.0,0.0,48.81021,0.001221,DHCP_Spoofing
3232235778,3758096636,57.0,0.0,1.0,17.0,48.813025,0.002815,DHCP_Spoofing
0,0,0.0,0.0,0.0,0.0,48.857217,0.044192,DHCP_Spoofing
3232235778,3232235777,69.0,0.0,128.0,17.0,48.929005,0.071788,DHCP_Spoofing
3232235777,3232235778,56.0,0.0,255.0,1.0,48.948863,0.019858,DHCP_Spoofing
3232235778,3232235777,69.0,0.0,128.0,17.0,48.997131,0.048268,DHCP_Spoofing
3232235777,3232235778,56.0,0.0,255.0,1.0,49.016408,0.019277,DHCP_Spoofing
3232235778,3232235777,69.0,0.0,128.0,17.0,49.030321,0.013913,DHCP_Spoofing
3232235777,3232235778,56.0,0.0,255.0,1.0,49.046989,0.016668,DHCP_Spoofing
3232235778,3232235777,69.0,0.0,128.0,17.0,49.053219,0.00623,DHCP_Spoofing
3232235777,3232235778,56.0,0.0,255.0,1.0,49.075843,0.022624,DHCP_Spoofing
3232235778,3232235777,69.0,0.0,128.0,17.0,49.096566,0.020723,DHCP_Spoofing
3232235778,3758096406,56.0,0.0,1.0,2.0,49.103393,0.006827,DHCP_Spoofing
0,0,0.0,0.0,0.0,0.0,49.10461,0.001217,DHCP_Spoofing
3232235777,3232235778,56.0,0.0,255.0,1.0,49.127357,0.022747,DHCP_Spoofing
0,0,0.0,0.0,0.0,0.0,49.132637,0.00528,DHCP_Spoofing
0,0,0.0,0.0,0.0,0.0,49.155721,0.023084,DHCP_Spoofing
3232235778,3232235777,62.0,0.0,128.0,17.0,49.185625,0.029904,DHCP_Spoofing
3232235777,3232235778,56.0,0.0,255.0,1.0,49.205188,0.019563,DHCP_Spoofing
3232235778,3232235777,62.0,0.0,128.0,17.0,49.208646,0.003458,DHCP_Spoofing
