ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
"124.71.17.32","11.69.65.64","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.233867000","0.001321000",,
"141.8.77.1","118.90.26.111","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.234252000","0.000385000",,
"42.31.22.119","207.81.194.29","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.234379000","0.000127000",,
"117.99.28.8","215.84.96.84","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.235038000","0.000659000",,
"191.179.204.18","37.132.147.7","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.240232000","0.005194000",,
"116.159.142.56","237.180.218.1","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.240796000","0.000564000",,
"16.119.171.37","31.129.225.33","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.241794000","0.000998000",,
"2.25.239.89","253.190.105.86","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.242227000","0.000433000",,
"22.102.9.55","169.230.160.79","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.248587000","0.006360000",,
"136.246.61.22","41.241.70.15","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.248880000","0.000293000",,
"85.13.117.52","184.189.239.28","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.248988000","0.000108000",,
"25.10.135.103","220.191.6.99","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.249255000","0.000267000",,
"16.223.227.118","170.200.249.122","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.249983000","0.000728000",,
"84.76.224.44","19.214.169.78","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.256221000","0.006238000",,
"64.168.193.67","8.86.227.105","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.257956000","0.001735000",,
"177.217.252.124","222.83.221.96","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.259771000","0.001815000",,
"71.98.50.79","14.205.246.86","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.263904000","0.004133000",,
"90.62.209.20","204.163.12.111","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.264277000","0.000373000",,
"142.68.49.22","219.99.220.37","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.265062000","0.000785000",,
"134.90.36.32","240.141.160.115","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.266124000","0.001062000",,
"192.15.200.89","156.44.43.124","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.273000000","0.006876000",,
"8.101.119.23","237.139.133.54","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.274431000","0.001431000",,
"70.1.137.88","141.55.103.11","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.281749000","0.007318000",,
"249.54.194.54","138.0.30.71","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.293162000","0.011413000",,
"64.183.205.43","152.70.97.81","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.295283000","0.002121000",,
"106.58.42.4","229.74.254.66","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.301588000","0.006305000",,
"228.110.221.55","113.93.17.7","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.303823000","0.002235000",,
"145.104.16.15","111.103.252.65","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.306749000","0.002926000",,
