ip.src,ip.dst,ip.len,ip.flags.df,ip.ttl,ip.proto,frame.time_relative,frame.time_delta,label
3232235779,3232235778,84.0,1.0,64.0,1.0,8.889297,0.001256,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,8.902769,0.013472,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,8.904758,0.001989,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,8.91724,0.012482,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,8.920536,0.003296,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,8.929246,0.00871,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,8.932988,0.003742,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,8.94317,0.010182,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,8.946939,0.003769,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,8.957572,0.010633,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,8.959839,0.002267,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,8.971692,0.011853,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,8.974428,0.002736,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,8.984222,0.009794,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,8.985332,0.00111,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,8.997338,0.012006,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,8.998941,0.001603,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.00991,0.010969,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.01,9e-05,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.020154,0.010154,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.022425,0.002271,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.032939,0.010514,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.037961,0.005022,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.039233,0.001272,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.040457,0.001224,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.053274,0.012817,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.055834,0.00256,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.067259,0.011425,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.068448,0.001189,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.080528,0.01208,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.090609,0.010081,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.092888,0.002279,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.093225,0.000337,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.106197,0.012972,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.111345,0.005148,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.11802,0.006675,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.126172,0.008152,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.137775,0.011603,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.137809,3.4e-05,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.148247,0.010438,Abnormal_Traffic
