ip.src,ip.dst,ip.len,ip.flags.df,ip.ttl,ip.proto,udp.port,frame.time_relative,frame.time_delta,label
3232235777,3232235779,56,0,255,1,53990,8.089585,0.022894,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,53990,8.090042,0.000457,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,53990,8.106194,0.016152,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,53990,8.107145,0.000951,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,53990,8.126381,0.019236,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,53990,8.126865,0.000484,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,53990,8.143825,0.01696,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,53990,8.144295,0.00047,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,53990,8.170403,0.026108,Abnormal_Traffic
0,0,0,0,0,0,0,8.191016,0.020613,Abnormal_Traffic
0,0,0,0,0,0,0,8.204699,0.013683,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,55471,8.560467,0.355768,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,55471,8.576109,0.015642,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,55471,8.576554,0.000445,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,55471,8.587316,0.010762,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,55471,8.587727,0.000411,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,55471,8.596208,0.008481,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,55471,8.59661,0.000402,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,55471,8.607483,0.010873,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,55471,8.60818,0.000697,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,55471,8.617312,0.009132,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,57700,8.61958,0.002268,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,57700,8.638706,0.019126,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,57700,8.639106,0.0004,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,57700,8.659557,0.020451,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,57700,8.659934,0.000377,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,57700,8.691257,0.031323,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,57700,8.691691,0.000434,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,57700,8.723914,0.032223,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,57700,8.725849,0.001935,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,57700,8.755325,0.029476,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,54238,8.825402,0.070077,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,54238,8.852342,0.02694,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,54238,8.852728,0.000386,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,54238,8.862269,0.009541,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,54238,8.862682,0.000413,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,54238,8.886195,0.023513,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,54238,8.886572,0.000377,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,54238,8.902659,0.016087,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,54238,8.903094,0.000435,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,54238,8.91515,0.012056,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,50483,8.91827,0.00312,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,50483,8.931583,0.013313,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,50483,8.932221,0.000638,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,50483,8.948815,0.016594,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,50483,8.949362,0.000547,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,50483,8.96924,0.019878,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,50483,8.969779,0.000539,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,50483,8.986615,0.016836,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,50483,8.987073,0.000458,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,50483,9.007695,0.020622,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,55470,9.014164,0.006469,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,55470,9.024608,0.010444,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,55470,9.02492,0.000312,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,55470,9.038617,0.013697,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,55470,9.038986,0.000369,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,55470,9.058404,0.019418,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,55470,9.058842,0.000438,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,55470,9.080555,0.021713,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,55470,9.081468,0.000913,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,55470,9.105928,0.02446,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,60234,9.109208,0.00328,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,60234,9.129856,0.020648,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,60234,9.13034,0.000484,Abnormal_Traffic
