ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,label
3232235777,3232235779,56.0,0.0,0.0,0.0,0.0,0.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58860.0,7.497695,0.01202,0.0,0.0,Abnormal_Traffic
3232235779,3232235777,70.0,0.0,0.0,0.0,0.0,0.0,128.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58860.0,7.498794,0.001099,0.0,0.0,Abnormal_Traffic
3232235777,3232235779,56.0,0.0,0.0,0.0,0.0,0.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58860.0,7.515808,0.017014,0.0,0.0,Abnormal_Traffic
3232235779,3232235777,70.0,0.0,0.0,0.0,0.0,0.0,128.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58860.0,7.531276,0.015468,0.0,0.0,Abnormal_Traffic
3232235777,3232235779,56.0,0.0,0.0,0.0,0.0,0.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58860.0,7.555789,0.024513,0.0,0.0,Abnormal_Traffic
3232235779,3232235777,70.0,0.0,0.0,0.0,0.0,0.0,128.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58860.0,7.654051,0.098262,0.0,0.0,Abnormal_Traffic
3232235777,3232235779,56.0,0.0,0.0,0.0,0.0,0.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58860.0,7.675626,0.021575,0.0,0.0,Abnormal_Traffic
3232235779,3232235777,70.0,0.0,0.0,0.0,0.0,0.0,128.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58860.0,7.676084,0.000458,0.0,0.0,Abnormal_Traffic
3232235777,3232235779,56.0,0.0,0.0,0.0,0.0,0.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58860.0,7.696498,0.020414,0.0,0.0,Abnormal_Traffic
3232235779,3232235777,70.0,0.0,0.0,0.0,0.0,0.0,128.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63144.0,7.700117,0.003619,0.0,0.0,Abnormal_Traffic
3232235777,3232235779,56.0,0.0,0.0,0.0,0.0,0.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63144.0,7.719198,0.019081,0.0,0.0,Abnormal_Traffic
3232235779,3232235777,70.0,0.0,0.0,0.0,0.0,0.0,128.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63144.0,7.719649,0.000451,0.0,0.0,Abnormal_Traffic
3232235777,3232235779,56.0,0.0,0.0,0.0,0.0,0.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63144.0,7.74211,0.022461,0.0,0.0,Abnormal_Traffic
3232235779,3232235777,70.0,0.0,0.0,0.0,0.0,0.0,128.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63144.0,7.74275,0.00064,0.0,0.0,Abnormal_Traffic
3232235777,3232235779,56.0,0.0,0.0,0.0,0.0,0.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63144.0,7.752664,0.009914,0.0,0.0,Abnormal_Traffic
3232235779,3232235777,70.0,0.0,0.0,0.0,0.0,0.0,128.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63144.0,7.75309,0.000426,0.0,0.0,Abnormal_Traffic
3232235777,3232235779,56.0,0.0,0.0,0.0,0.0,0.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63144.0,7.765518,0.012428,0.0,0.0,Abnormal_Traffic
3232235779,3232235777,70.0,0.0,0.0,0.0,0.0,0.0,128.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63144.0,7.76617,0.000652,0.0,0.0,Abnormal_Traffic
3232235777,3232235779,56.0,0.0,0.0,0.0,0.0,0.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63144.0,7.791781,0.025611,0.0,0.0,Abnormal_Traffic
3232235779,3232235777,70.0,0.0,0.0,0.0,0.0,0.0,128.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54051.0,7.801796,0.010015,0.0,0.0,Abnormal_Traffic
3232235777,3232235779,56.0,0.0,0.0,0.0,0.0,0.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54051.0,7.818919,0.017123,0.0,0.0,Abnormal_Traffic
3232235779,3232235777,70.0,0.0,0.0,0.0,0.0,0.0,128.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54051.0,7.819457,0.000538,0.0,0.0,Abnormal_Traffic
3232235777,3232235779,56.0,0.0,0.0,0.0,0.0,0.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54051.0,7.843008,0.023551,0.0,0.0,Abnormal_Traffic
3232235779,3232235777,70.0,0.0,0.0,0.0,0.0,0.0,128.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54051.0,7.8434,0.000392,0.0,0.0,Abnormal_Traffic
3232235777,3232235779,56.0,0.0,0.0,0.0,0.0,0.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54051.0,7.860848,0.017448,0.0,0.0,Abnormal_Traffic
3232235779,3232235777,70.0,0.0,0.0,0.0,0.0,0.0,128.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54051.0,7.861273,0.000425,0.0,0.0,Abnormal_Traffic
3232235777,3232235779,56.0,0.0,0.0,0.0,0.0,0.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54051.0,7.87772,0.016447,0.0,0.0,Abnormal_Traffic
3232235779,3232235777,70.0,0.0,0.0,0.0,0.0,0.0,128.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54051.0,7.878177,0.000457,0.0,0.0,Abnormal_Traffic
3232235777,3232235779,56.0,0.0,0.0,0.0,0.0,0.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54051.0,7.889002,0.010825,0.0,0.0,Abnormal_Traffic
3232235779,3232235777,70.0,0.0,0.0,0.0,0.0,0.0,128.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51747.0,7.891396,0.002394,0.0,0.0,Abnormal_Traffic
